CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AgeGroup,IsZeroBalance,CreditScoreRating,HasMultipleProduct,BalanceSalaryRatio,TenureAgeRatio,CreditScoreAgeRatio,EstimatedMonthlySalary,AgeBalanceInteraction,ProductDensity,LoyalityScore,WealthSignifier,TenureRiskGroup,MidTierDanger,GermanPassiveWealth,HighRiskGermanCohort,BalancePerProduct,CardButInactive,CardAndActive,TeenZeroBalance,ActiveZeroBalance,Female_Germany
549,France,Female,25,5,0.0,2,0,0,190857.79,0,Young,0,Poor,0,0.0,0.2,21.96,15904.815833333334,0.0,0.4,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,Young,0,Fair,0,0.0,0.2,18.142857142857142,5495.970833333333,0.0,0.2857142857142857,7,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,Mid-age,1,Fair,1,2.2250195329320728,0.06666666666666667,13.688888888888888,5360.6050000000005,6440823.45,0.6666666666666666,3,0,Mid_Stable,1,0,0,71564.705,0,0,0,0,0
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,Mid-age,1,Fair,1,26.01244882465911,0.017241379310344827,11.258620689655173,424.80583333333334,7690967.04,1.0,0,0,Early_HighRisk,1,1,1,132602.88,1,0,0,0,0
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,Young,0,Poor,0,0.0,0.375,22.875,1200.5341666666666,0.0,0.2222222222222222,9,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,Mid-age,0,Fair,0,0.0,0.13333333333333333,13.044444444444444,13223.734166666667,0.0,0.16666666666666666,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
726,France,Female,24,6,0.0,2,1,1,54724.03,0,Young,0,Good,0,0.0,0.25,30.25,4560.3358333333335,0.0,0.3333333333333333,6,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
732,France,Male,41,8,0.0,2,1,1,170886.17,0,Mid-age,0,Good,0,0.0,0.1951219512195122,17.853658536585368,14240.514166666668,0.0,0.25,8,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,Young,0,Fair,0,0.0,0.25,19.875,11546.288333333332,0.0,0.25,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,Mid-age,0,Poor,0,0.0,0.10526315789473684,13.421052631578947,9909.460833333333,0.0,0.25,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
669,France,Male,46,3,0.0,2,0,1,8487.75,0,Mid-age,0,Fair,0,0.0,0.06521739130434782,14.543478260869565,707.3125,0.0,0.6666666666666666,3,0,Mid_Stable,0,0,0,0.0,0,0,0,1,0
846,France,Female,38,5,0.0,1,1,1,187616.16,0,Mid-age,0,Excellent,0,0.0,0.13157894736842105,22.263157894736842,15634.68,0.0,0.2,5,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
577,France,Male,25,3,0.0,2,0,1,124508.29,0,Young,0,Poor,0,0.0,0.12,23.08,10375.690833333332,0.0,0.6666666666666666,3,0,Mid_Stable,0,0,0,0.0,0,0,0,1,0
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,Mid-age,1,Very Good,1,0.8045993356345302,0.05555555555555555,21.0,14170.1625,4925363.040000001,0.5,2,1,Early_HighRisk,1,0,0,136815.64,0,1,0,0,0
571,France,Male,44,9,0.0,2,0,0,38433.35,0,Mid-age,0,Poor,0,0.0,0.20454545454545456,12.977272727272727,3202.7791666666667,0.0,0.2222222222222222,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,Mid-age,1,Poor,1,1.4108499439500544,0.06976744186046512,13.348837209302326,8348.9525,6078025.489999999,0.3333333333333333,3,0,Mid_Stable,1,0,0,141349.43,0,1,0,0,1
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,Young,1,Poor,1,1.1161852476693153,0.0,14.172413793103448,4456.934166666667,1731217.93,0.0,0,0,Early_HighRisk,0,0,0,29848.585,0,1,0,0,0
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,Mid-age,0,Fair,0,0.0,0.07692307692307693,15.153846153846153,11705.781666666668,0.0,1.0,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,Mid-age,1,Poor,1,0.5443160872600863,0.19444444444444445,14.805555555555555,13060.9925,3071221.1999999997,0.14285714285714285,7,0,Mid_Stable,0,0,0,85311.7,0,0,0,0,0
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,Mid-age,1,Poor,1,1.344494993272796,0.21951219512195122,13.487804878048781,6824.900833333333,4514614.14,0.2222222222222222,0,0,Mid_Stable,1,1,0,55056.27,0,0,0,0,0
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,Mid-age,0,Poor,0,0.0,0.14285714285714285,12.380952380952381,2867.5458333333336,0.0,0.3333333333333333,6,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,Young,0,Good,0,0.0,0.3103448275862069,24.896551724137932,11836.089166666667,0.0,0.2222222222222222,9,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,Mid-age,1,Poor,1,4.825651017378075,0.0,10.555555555555555,2318.5825,6041881.800000001,0.0,0,0,Early_HighRisk,1,0,0,134264.04,1,0,0,0,0
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,Young,1,Poor,1,1.273466672195592,0.0967741935483871,15.806451612903226,9505.564166666667,4503067.13,0.3333333333333333,3,1,Mid_Stable,1,0,0,145260.23,0,0,0,0,0
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,Young,1,Excellent,1,0.7775105900301108,0.21212121212121213,24.363636363636363,8204.454166666666,2526103.8000000003,0.14285714285714285,7,0,Mid_Stable,0,0,0,76548.6,0,0,0,0,0
850,France,Male,36,7,0.0,1,1,1,40812.9,0,Mid-age,0,Excellent,0,0.0,0.19444444444444445,23.61111111111111,3401.0750000000003,0.0,0.14285714285714285,7,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,Mid-age,1,Fair,1,0.3950574716000153,0.14634146341463414,14.195121951219512,14839.503333333334,2884328.6799999997,0.3333333333333333,6,0,Mid_Stable,0,0,0,35174.74,0,0,0,0,0
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,Mid-age,0,Poor,0,0.0,0.1,11.8,5846.185,0.0,0.25,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,Mid-age,1,Poor,1,0.675807546319547,0.1568627450980392,9.117647058823529,15108.137499999999,6248638.32,0.125,0,1,Mid_Stable,1,0,0,122522.32,0,0,0,0,0
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,Old,1,Poor,1,1.2471011535059169,0.03278688524590164,9.114754098360656,7846.1525,7162580.350000001,0.5,2,0,Early_HighRisk,1,0,0,117419.35,0,1,0,0,0
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,Mid-age,1,Excellent,1,0.6760170104034784,0.04081632653061224,17.020408163265305,16197.146666666667,6438333.4399999995,0.5,0,1,Early_HighRisk,1,0,0,131394.56,0,0,0,0,0
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,Old,1,Fair,1,0.9847966118639957,0.08196721311475409,10.819672131147541,13194.865833333335,9511797.709999999,0.2,5,1,Mid_Stable,0,0,0,155931.11,0,1,0,0,0
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,Young,1,Very Good,1,0.8648697974176844,0.125,24.25,10543.121666666668,3501476.16,0.5,4,1,Mid_Stable,1,0,0,54710.565,0,1,0,0,1
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,Young,1,Excellent,1,0.9359898539958119,0.3333333333333333,30.703703703703702,9975.684166666668,3025233.09,0.1111111111111111,9,1,Mid_Stable,1,0,0,112045.67,0,1,0,0,1
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,Mid-age,1,Fair,1,1.1719139486562127,0.23076923076923078,16.333333333333332,9801.9,5375908.199999999,0.1111111111111111,9,1,Mid_Stable,1,0,0,137843.8,0,1,0,0,1
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,Mid-age,1,Poor,1,1.1376926439837616,0.05263157894736842,14.473684210526315,7573.177500000001,3928872.4400000004,0.5,2,0,Early_HighRisk,1,0,0,103391.38,0,0,0,0,0
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,Mid-age,1,Very Good,1,0.5346197344944171,0.05405405405405406,20.972972972972972,16174.926666666666,3839461.14,1.0,0,1,Early_HighRisk,1,1,0,51884.61,1,0,0,0,1
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,Mid-age,1,Good,1,0.5875182445487499,0.22727272727272727,15.863636363636363,16504.93,5119988.279999999,0.2,0,1,Late_HighRisk,1,1,0,58181.685,1,0,0,0,0
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,Mid-age,1,Fair,1,1.6899241731836212,0.1388888888888889,16.25,7202.047500000001,5257834.92,0.4,0,0,Mid_Stable,1,1,0,73025.485,0,0,0,0,0
788,France,Female,33,5,0.0,2,0,0,116978.19,0,Young,0,Very Good,0,0.0,0.15151515151515152,23.87878787878788,9748.1825,0.0,0.4,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,Mid-age,1,Fair,1,0.7654306906556375,0.1951219512195122,15.975609756097562,13670.078333333333,5148040.7700000005,0.125,0,1,Mid_Stable,1,1,0,125561.97,0,0,0,0,0
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,Mid-age,1,Fair,1,2.4614847121412198,0.023809523809523808,14.30952380952381,3334.5633333333335,4136820.24,1.0,0,0,Early_HighRisk,0,1,0,98495.72,1,0,0,0,0
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,Mid-age,1,Fair,1,1.1040594216637278,0.023255813953488372,14.395348837209303,9450.874166666666,5384112.56,1.0,1,1,Early_HighRisk,1,0,0,125211.92,0,1,0,0,0
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,Mid-age,1,Fair,1,1.4678907929586371,0.1111111111111111,14.577777777777778,7258.964166666668,5753898.0,0.2,0,0,Mid_Stable,1,0,0,127864.4,1,0,0,0,0
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,Teenager,1,Good,1,1.6637132443616234,0.0,38.1578947368421,3801.1458333333335,1441875.8,0.0,0,0,Early_HighRisk,0,1,0,75888.2,0,0,0,0,0
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,Old,0,Poor,0,0.0,0.06060606060606061,7.742424242424242,136.92583333333332,0.0,0.25,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,Mid-age,1,Fair,1,0.8698167066022907,0.0784313725490196,12.03921568627451,3897.94,2074981.92,0.25,4,0,Mid_Stable,0,0,0,40685.92,0,1,0,0,0
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,Young,1,Very Good,1,1.619426060267494,0.14285714285714285,21.2,7042.464166666668,4789995.0,0.2,0,0,Mid_Stable,1,1,0,136857.0,0,0,0,0,0
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,Young,1,Good,1,1.2042301811252034,0.3333333333333333,25.444444444444443,10541.235,4112879.7600000002,0.2222222222222222,0,1,Mid_Stable,0,1,0,76164.44,0,0,0,0,1
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,Young,1,Poor,1,0.3136760434798731,0.030303030303030304,16.818181818181817,14899.844166666668,1850794.77,2.0,0,0,Early_HighRisk,0,0,0,28042.345,0,0,0,0,0
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,Mid-age,1,Good,1,0.7918355997020474,0.14285714285714285,12.214285714285714,8283.196666666667,4407600.96,0.125,8,0,Mid_Stable,0,0,0,78707.16,0,1,0,0,0
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,Young,1,Fair,1,1.17584642592519,0.15384615384615385,23.192307692307693,7736.7225,2838325.62,0.25,4,0,Mid_Stable,1,0,0,109166.37,0,1,0,0,0
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,Mid-age,1,Very Good,1,6.1182094331221295,0.16666666666666666,20.86111111111111,2313.1966666666667,6113932.56,0.3333333333333333,6,0,Mid_Stable,0,0,0,84915.73,0,1,0,0,1
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,Young,1,Fair,1,0.9203264539260578,0.029411764705882353,17.08823529411765,9202.625833333334,3455523.36,1.0,0,1,Early_HighRisk,1,1,0,101633.04,1,0,0,0,1
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,Mid-age,1,Good,1,0.6263179726295305,0.23255813953488372,17.093023255813954,16389.44,5296740.43,0.2,10,1,Late_HighRisk,1,0,0,61590.005,0,1,0,0,0
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,Young,1,Fair,1,1.3261455864736704,0.14285714285714285,18.885714285714286,9471.404166666667,5275393.55,0.4,5,1,Mid_Stable,0,0,0,75362.765,0,0,0,0,1
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,Young,1,Good,1,5.404233368126133,0.38095238095238093,32.142857142857146,1516.9166666666667,2065838.46,0.125,0,0,Mid_Stable,0,0,0,98373.26,1,0,0,0,0
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,Mid-age,1,Good,1,4.713685060827113,0.034482758620689655,12.724137931034482,2364.4883333333332,7757235.5200000005,2.0,0,0,Early_HighRisk,1,1,1,33436.36,1,0,0,0,0
813,France,Male,29,6,0.0,1,1,0,33953.87,0,Young,0,Excellent,0,0.0,0.20689655172413793,28.03448275862069,2829.4891666666667,0.0,0.16666666666666666,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,Mid-age,1,Fair,1,3.701222639358151,0.0,17.756756756756758,3683.629166666667,6053465.66,0.0,0,0,Early_HighRisk,0,0,0,163607.18,0,0,0,0,0
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,Young,1,Fair,1,2.7004869853411475,0.2,24.16,4868.900833333333,3944521.0,0.4,5,0,Mid_Stable,0,0,0,78890.42,0,1,0,0,1
519,France,Male,36,9,0.0,2,0,1,145562.4,0,Mid-age,0,Poor,0,0.0,0.25,14.416666666666666,12130.199999999999,0.0,0.2222222222222222,9,0,Mid_Stable,0,0,0,0.0,0,0,0,1,0
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,Young,1,Good,1,7.982767107378953,0.047619047619047616,35.0,1865.6666666666667,3753081.99,2.0,0,0,Early_HighRisk,0,0,0,89359.095,1,0,0,0,0
664,France,Male,55,8,0.0,2,1,1,139161.64,0,Mid-age,0,Fair,0,0.0,0.14545454545454545,12.072727272727272,11596.803333333335,0.0,0.25,8,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
678,France,Female,32,9,0.0,1,1,1,148210.64,0,Young,0,Good,0,0.0,0.28125,21.1875,12350.886666666667,0.0,0.1111111111111111,9,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,Young,1,Very Good,1,0.39772120653236415,0.15151515151515152,22.939393939393938,16186.635833333334,2549356.2600000002,0.2,5,0,Mid_Stable,0,0,0,77253.22,0,0,0,0,0
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,Mid-age,1,Poor,1,1.2430077187952466,0.24390243902439024,10.146341463414634,8191.800833333334,5009776.0600000005,0.2,0,0,Late_HighRisk,1,1,0,61094.83,1,0,0,0,1
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,Young,1,Fair,1,0.5638146924813343,0.029411764705882353,19.558823529411764,14284.471666666666,3285948.36,2.0,0,0,Early_HighRisk,0,0,0,48322.77,0,0,0,0,0
777,France,Female,32,2,0.0,1,1,0,136458.19,1,Young,0,Very Good,0,0.0,0.0625,24.28125,11371.515833333333,0.0,0.5,0,0,Early_HighRisk,0,0,0,0.0,1,0,0,0,0
543,France,Female,36,3,0.0,2,0,0,26019.59,0,Mid-age,0,Poor,0,0.0,0.08333333333333333,15.083333333333334,2168.2991666666667,0.0,0.6666666666666666,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,Young,1,Poor,1,0.5671332026964625,0.11764705882352941,14.882352941176471,13269.6075,3070459.08,0.25,4,0,Mid_Stable,0,0,0,90307.62,0,1,0,0,0
493,France,Female,46,4,0.0,2,1,0,1907.66,0,Mid-age,0,Poor,0,0.0,0.08695652173913043,10.717391304347826,158.97166666666666,0.0,0.5,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,Old,0,Fair,0,0.0,0.13333333333333333,8.693333333333333,9556.3125,0.0,0.2,10,0,Late_HighRisk,0,0,0,0.0,0,1,0,1,0
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,Young,1,Very Good,1,0.945885037975146,0.13636363636363635,34.09090909090909,10720.279166666667,2677000.04,0.3333333333333333,0,1,Mid_Stable,1,0,0,121681.82,1,0,0,0,0
729,France,Male,30,9,0.0,2,1,0,151869.35,0,Young,0,Good,0,0.0,0.3,24.3,12655.779166666667,0.0,0.2222222222222222,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
646,France,Female,46,4,0.0,3,1,0,93251.42,1,Mid-age,0,Fair,0,0.0,0.08695652173913043,14.043478260869565,7770.951666666667,0.0,0.75,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,Young,1,Fair,1,0.520587805348458,0.10714285714285714,22.678571428571427,13065.946666666665,2285462.76,0.6666666666666666,3,0,Mid_Stable,0,0,0,40811.835,0,1,0,0,1
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,Mid-age,0,Fair,0,0.0,0.11363636363636363,14.704545454545455,14517.101666666667,0.0,0.6,5,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,Mid-age,1,Excellent,1,0.8062568246327154,0.15555555555555556,17.955555555555556,12261.038333333332,5338194.75,0.2857142857142857,0,1,Mid_Stable,1,0,0,59313.275,1,0,0,0,0
524,France,Female,36,10,0.0,2,1,0,109614.57,0,Mid-age,0,Poor,0,0.0,0.2777777777777778,14.555555555555555,9134.5475,0.0,0.2,0,0,Late_HighRisk,0,0,0,0.0,1,0,0,0,0
769,France,Male,29,8,0.0,2,1,1,172290.61,0,Young,0,Very Good,0,0.0,0.27586206896551724,26.517241379310345,14357.550833333333,0.0,0.25,8,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,Mid-age,0,Good,0,0.0,0.09523809523809523,17.38095238095238,7165.205833333333,0.0,0.5,4,0,Mid_Stable,0,0,0,0.0,0,0,0,1,0
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,Young,1,Poor,1,1.453472763106317,0.2857142857142857,14.714285714285714,10106.481666666667,6169588.25,0.1,10,1,Late_HighRisk,0,0,0,176273.95,0,0,0,0,0
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,Mid-age,1,Very Good,1,1.5918730866433677,0.21951219512195122,18.853658536585368,5382.9375,4215925.04,0.1111111111111111,9,0,Mid_Stable,1,0,0,102827.44,0,0,0,0,0
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,Young,1,Excellent,1,0.4921345527205952,0.27586206896551724,28.06896551724138,16439.6775,2815505.5999999996,0.25,8,0,Mid_Stable,0,0,0,48543.2,0,1,0,0,0
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,Young,0,Good,0,0.0,0.36363636363636365,32.27272727272727,8303.753333333332,0.0,0.25,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
413,France,Male,34,9,0.0,2,0,0,6534.18,0,Young,0,Poor,0,0.0,0.2647058823529412,12.147058823529411,544.515,0.0,0.2222222222222222,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
665,France,Female,40,6,0.0,1,1,1,161848.03,0,Mid-age,0,Fair,0,0.0,0.15,16.625,13487.335833333333,0.0,0.16666666666666666,6,0,Mid_Stable,0,0,0,0.0,0,1,0,1,0
623,France,Female,44,6,0.0,2,0,0,167162.43,0,Mid-age,0,Fair,0,0.0,0.13636363636363635,14.159090909090908,13930.2025,0.0,0.3333333333333333,0,0,Mid_Stable,0,0,0,0.0,0,0,0,0,0
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,Young,1,Good,1,1.9698053786068,0.2903225806451613,23.806451612903224,3497.56,2562898.65,0.1111111111111111,0,0,Mid_Stable,0,0,0,82674.15,1,0,0,0,0
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,Mid-age,0,Poor,0,0.0,0.19444444444444445,14.666666666666666,5044.713333333333,0.0,0.2857142857142857,0,0,Mid_Stable,0,0,0,0.0,1,0,0,0,0
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,Old,0,Good,0,0.0,0.015384615384615385,10.307692307692308,14804.64,0.0,1.0,1,0,Early_HighRisk,0,0,0,0.0,0,1,0,1,0
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,Mid-age,1,Fair,1,3.4556942660851733,0.08695652173913043,13.521739130434783,2582.0491666666667,4925370.42,0.5,4,0,Mid_Stable,1,0,0,53536.635,0,1,0,0,0
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,Young,1,Fair,1,8.845626797075546,0.03125,18.1875,837.8775,2846035.84,1.0,1,0,Early_HighRisk,0,0,0,88938.62,0,1,0,0,0
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,Mid-age,1,Very Good,1,2.699195327196827,0.05555555555555555,21.805555555555557,3081.3766666666666,3593046.6,0.5,2,0,Early_HighRisk,0,0,0,99806.85,0,0,0,0,1
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,Young,1,Fair,1,2.0886024603275213,0.15151515151515152,18.333333333333332,5988.565833333333,4953062.399999999,0.2,0,0,Mid_Stable,0,0,0,150092.8,0,0,0,0,0
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,Young,1,Poor,1,0.933474315599841,0.2571428571428571,13.685714285714285,8287.488333333333,3249186.15,0.1111111111111111,0,0,Mid_Stable,0,1,0,92833.89,1,0,0,0,0
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,Young,1,Good,1,1.435204131453732,0.1,22.833333333333332,5256.906666666667,2716104.3,0.3333333333333333,3,0,Mid_Stable,0,0,0,90536.81,0,0,0,0,0
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,Mid-age,1,Poor,1,3.968053626604131,0.1794871794871795,13.794871794871796,2269.2716666666665,4214148.9,0.2857142857142857,0,0,Mid_Stable,1,1,0,54027.55,1,0,0,0,0
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,Mid-age,1,Poor,1,1.154854159818824,0.047619047619047616,13.380952380952381,7233.1175,4210010.7,0.5,0,0,Early_HighRisk,1,0,0,100238.35,0,0,0,0,0
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,Mid-age,1,Good,1,4.618120909859479,0.25,18.75,1916.1933333333334,3822859.8000000003,0.1111111111111111,9,0,Mid_Stable,1,0,0,106190.55,0,0,0,0,0
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,Young,1,Good,1,1.524917142920885,0.32142857142857145,25.75,8441.745,4325315.12,0.2222222222222222,9,1,Mid_Stable,0,0,0,77237.77,0,0,0,0,0
